PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,SEASON_ID
1630639,A.J. Lawson,1610612742,DAL,22.0,6-6,78.0,179,South Carolina,Canada,Undrafted,Undrafted,Undrafted,15,56,21,2,-20.1,0.046,0.152,0.189,0.589,0.032,
1631260,AJ Green,1610612749,MIL,23.0,6-5,77.0,190,Northern Iowa,USA,Undrafted,Undrafted,Undrafted,35,154,45,22,-4.9,0.016,0.105,0.159,0.607,0.092,
1631100,AJ Griffin,1610612737,ATL,19.0,6-6,78.0,220,Duke,USA,2022,1,16,72,639,153,73,1.5,0.026,0.08,0.174,0.577,0.07,
203932,Aaron Gordon,1610612743,DEN,27.0,6-8,80.0,235,Arizona,USA,2014,1,4,68,1109,446,203,12.1,0.086,0.136,0.206,0.617,0.129,
1628988,Aaron Holiday,1610612737,ATL,26.0,6-0,72.0,185,UCLA,USA,2018,1,23,63,247,74,89,0.9,0.028,0.059,0.129,0.528,0.135,
1630174,Aaron Nesmith,1610612754,IND,23.0,6-5,77.0,215,Vanderbilt,USA,2020,1,14,73,738,277,98,-4.7,0.033,0.119,0.168,0.566,0.073,
1630598,Aaron Wiggins,1610612760,OKC,24.0,6-5,77.0,190,Maryland,USA,2021,2,55,70,479,211,80,1.5,0.05,0.109,0.143,0.607,0.084,
1629678,Admiral Schofield,1610612753,ORL,26.0,6-5,77.0,241,Tennessee,United Kingdom,2019,2,42,37,155,62,31,-8.3,0.047,0.092,0.139,0.587,0.103,
201143,Al Horford,1610612738,BOS,37.0,6-9,81.0,240,Florida,Dominican Republic,2007,1,3,63,616,390,189,7.8,0.039,0.159,0.119,0.631,0.128,
202692,Alec Burks,1610612765,DET,31.0,6-6,78.0,214,Colorado,USA,2011,1,12,51,652,158,114,-1.0,0.017,0.124,0.218,0.602,0.15,
1630197,Aleksej Pokusevski,1610612760,OKC,21.0,7-0,84.0,210,None,Serbia,2020,1,17,34,276,159,64,-12.7,0.058,0.16,0.179,0.522,0.13,
1627936,Alex Caruso,1610612741,CHI,29.0,6-5,77.0,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,67,374,196,193,6.1,0.028,0.099,0.109,0.588,0.155,
203458,Alex Len,1610612758,SAC,30.0,7-2,86.0,250,Maryland,Ukraine,2013,1,5,26,43,60,12,6.6,0.143,0.194,0.132,0.58,0.099,
